Month DD Raised,No. of FTE Request Raised,SkillList,Location
5,4,1,1
10,2,2,2
3,2,2,3
10,1,3,2
6,2,4,4
8,4,1,5
6,1,5,4
8,4,2,5
3,3,6,3
3,2,6,3
6,2,7,4
2,4,8,6
10,2,8,2
6,1,8,4
1,2,6,7
8,3,6,5
3,3,9,3
8,1,9,5
1,1,9,7
3,3,10,3
6,2,10,4
12,4,11,8
6,3,11,4
5,3,12,1
12,2,11,8
2,1,11,6
2,1,13,6
8,4,14,5
3,1,15,3
3,4,15,3
1,1,15,7
3,1,15,3
12,1,15,8
8,4,15,5
10,4,15,2
2,3,15,6
3,3,15,3
5,2,15,1
12,3,15,8
12,4,15,8
3,3,15,3
10,4,15,2
2,1,15,6
12,2,15,8
8,1,15,5
6,3,15,4
3,2,15,3
8,4,15,5
5,2,15,1
3,3,15,3
2,1,15,6
10,4,11,2
3,3,11,3
8,3,11,5
5,2,11,1
10,1,11,2
6,1,11,4
3,4,15,3
8,4,15,5
8,3,15,5
10,3,6,2
6,4,6,4
6,1,6,4
8,1,6,5
6,4,6,4
10,3,6,2
10,4,6,2
8,3,6,5
3,1,6,3
5,2,13,1
12,4,8,8
10,3,8,2
8,2,8,5
3,2,8,3
6,2,16,4
10,4,13,2
8,4,15,5
10,1,13,2
2,1,16,6
5,1,17,1
10,4,9,2
8,4,18,5
10,1,18,2
2,1,19,6
8,2,20,5
3,2,21,3
2,4,21,6
3,4,22,3
6,1,23,4
6,3,24,4
8,4,25,5
6,1,26,4
6,4,27,4
8,3,28,5
6,4,10,4
3,2,3,3
10,2,29,2
5,2,3,1
6,4,30,4
6,4,30,4
12,2,3,8
5,3,10,1
3,3,29,3
3,3,14,3
6,4,14,4
12,2,14,8
10,3,14,2
12,4,14,8
3,2,14,3
2,2,31,6
2,3,32,6
3,4,32,3
10,1,33,2
2,3,34,6
5,2,35,1
3,1,36,3
10,1,36,2
8,3,37,5
6,2,38,4
3,4,39,3
3,4,11,3
3,2,11,3
10,3,40,2
10,1,40,2
6,4,40,4
6,1,40,4
10,1,41,2
3,1,39,3
6,2,11,4
3,4,42,3
8,2,43,5
6,3,44,4
3,4,45,3
3,4,45,3
6,2,45,4
8,3,45,5
6,1,45,4
3,2,46,3
8,4,47,5
3,3,47,3
12,4,47,8
5,1,47,1
10,2,48,2
3,3,48,3
10,2,48,2
3,1,48,3
8,1,48,5
3,3,49,3
3,2,50,3
3,1,50,3
1,4,49,7
6,4,50,4
1,4,50,7
2,4,50,6
2,4,50,6
2,4,50,6
3,4,50,3
8,2,50,5
12,1,50,8
8,3,50,5
8,2,51,5
12,3,52,8
6,3,9,4
12,3,9,8
1,3,9,7
1,3,53,7
1,4,13,7
1,3,13,7
10,1,54,2
6,3,55,4
1,1,56,7
10,1,57,2
10,1,29,2
3,4,58,3
5,1,59,1
12,2,60,8
8,4,61,5
8,3,61,5
1,1,61,7
2,1,62,6
10,2,62,2
10,2,62,2
10,3,62,2
5,1,62,1
10,2,63,2
10,2,62,2
10,4,64,2
3,2,65,3
2,4,65,6
3,2,65,3
3,4,65,3
10,2,65,2
2,4,66,6
3,4,66,3
3,2,67,3
1,1,67,7
5,4,19,1
6,4,19,4
6,1,19,4
10,2,19,2
12,3,19,8
3,1,68,3
8,2,68,5
8,2,68,5
5,4,68,1
5,1,68,1
8,2,69,5
8,4,69,5
3,3,69,3
6,1,69,4
3,2,69,3
3,1,69,3
6,4,69,4
6,1,9,4
2,3,70,6
8,2,9,5
10,3,9,2
10,3,71,2
10,4,29,2
2,1,72,6
3,4,72,3
10,1,72,2
3,2,73,3
10,3,73,2
3,1,74,3
10,3,3,2
3,3,75,3
3,2,76,3
10,3,76,2
3,3,76,3
8,1,76,5
12,1,76,8
10,2,11,2
10,4,11,2
8,4,77,5
8,2,67,5
3,3,67,3
8,2,53,5
6,4,78,4
5,4,62,1
12,4,62,8
2,1,62,6
2,3,62,6
8,2,9,5
8,1,79,5
10,4,80,2
2,4,81,6
6,1,82,4
12,3,9,8
6,1,83,4
12,4,84,8
1,1,85,7
10,3,86,2
10,1,86,2
10,4,86,2
6,3,86,4
10,4,87,2
8,2,87,5
6,1,9,4
3,3,9,3
10,3,88,2
10,4,88,2
10,3,88,2
1,2,88,7
12,3,89,8
5,1,89,1
10,2,89,2
3,2,90,3
8,2,91,5
6,3,62,4
12,2,22,8
8,4,22,5
3,4,22,3
3,2,22,3
8,4,71,5
10,3,71,2
3,1,71,3
6,1,71,4
10,4,71,2
1,2,71,7
10,4,71,2
3,4,71,3
6,4,71,4
8,3,71,5
12,4,92,8
3,1,9,3
10,4,9,2
6,1,93,4
1,3,64,7
3,3,64,3
6,2,94,4
8,1,94,5
1,1,95,7
12,3,95,8
6,3,95,4
3,1,95,3
5,2,96,1
6,4,97,4
3,1,98,3
12,3,99,8
3,3,99,3
10,3,99,2
2,2,99,6
8,4,99,5
2,4,99,6
8,1,77,5
3,1,77,3
10,1,77,2
12,3,77,8
12,1,77,8
12,1,77,8
8,4,77,5
1,1,77,7
8,1,77,5
3,1,77,3
6,1,77,4
2,2,77,6
2,3,77,6
8,2,77,5
12,3,77,8
12,1,77,8
8,1,77,5
5,3,77,1
6,2,101,4
3,2,101,3
3,4,102,3
3,2,101,3
12,4,103,8
3,1,9,3
3,3,104,3
3,4,104,3
10,1,105,2
6,1,105,4
8,2,106,5
8,3,105,5
8,3,105,5
1,2,105,7
1,2,105,7
8,4,105,5
8,3,105,5
10,2,105,2
5,4,105,1
6,4,105,4
10,1,105,2
10,3,105,2
10,3,108,2
8,1,56,5
2,4,109,6
10,2,110,2
6,3,111,4
8,3,110,5
10,1,110,2
8,4,110,5
3,2,110,3
10,4,110,2
8,1,110,5
1,4,110,7
10,3,110,2
10,3,110,2
1,3,110,7
10,2,110,2
6,1,110,4
8,2,110,5
10,1,112,2
6,2,113,4
8,1,112,5
8,3,112,5
2,1,112,6
8,3,112,5
10,2,112,2
10,2,110,2
8,2,104,5
2,2,115,6
1,1,115,7
2,1,3,6
8,3,9,5
8,4,116,5
8,1,116,5
6,3,9,4
6,4,9,4
2,2,9,6
1,3,9,7
10,2,9,2
1,4,9,7
10,4,9,2
8,1,9,5
6,4,14,4
5,2,14,1
5,1,14,1
10,2,86,2
10,2,86,2
3,1,55,3
6,4,65,4
5,3,9,1
2,1,4,6
10,2,9,2
8,3,11,5
10,4,11,2
6,2,117,4
5,2,118,1
12,2,119,8
6,3,120,4
1,2,119,7
8,1,119,5
5,1,119,1
12,3,119,8
12,1,119,8
12,3,119,8
2,3,9,6
1,2,29,7
3,4,29,3
10,3,29,2
8,2,9,5
8,3,121,5
10,1,122,2
3,3,123,3
6,2,124,4
10,2,125,2
6,3,125,4
3,1,126,3
3,4,29,3
6,3,127,4
6,1,127,4
12,4,64,8
8,3,64,5
2,4,64,6
1,4,9,7
12,3,9,8
5,3,9,1
8,1,128,5
6,1,9,4
2,4,9,6
8,4,9,5
2,4,62,6
6,4,62,4
2,4,71,6
10,3,71,2
8,2,71,5
8,3,4,5
